Sex,PA,Subzone,AG,Floor Area,Population,Time
Female,Ang Mo Kio,Total,0 - 4,Total*,"2,480",2022
Female,Ang Mo Kio,Total,0 - 4,? 60,250,2022
Female,Ang Mo Kio,Total,0 - 4,> 60 - 80,500,2022
Female,Ang Mo Kio,Total,0 - 4,> 80 - 100,870,2022
Female,Ang Mo Kio,Total,0 - 4,> 100 - 120,390,2022
Female,Ang Mo Kio,Total,0 - 4,> 120,470,2022
Female,Ang Mo Kio,Total,15 - 19,Total*,"3,610",2022
Female,Ang Mo Kio,Total,15 - 19,? 60,280,2022
Female,Ang Mo Kio,Total,15 - 19,> 60 - 80,810,2022
Female,Ang Mo Kio,Total,15 - 19,> 80 - 100,970,2022
Female,Ang Mo Kio,Total,15 - 19,> 100 - 120,620,2022
Female,Ang Mo Kio,Total,15 - 19,> 120,920,2022
Female,Ang Mo Kio,Total,20 - 24,Total*,"4,010",2022
Female,Ang Mo Kio,Total,20 - 24,? 60,350,2022
Female,Ang Mo Kio,Total,20 - 24,> 60 - 80,940,2022
Female,Ang Mo Kio,Total,20 - 24,> 80 - 100,"1,140",2022
Female,Ang Mo Kio,Total,20 - 24,> 100 - 120,530,2022
Female,Ang Mo Kio,Total,20 - 24,> 120,"1,050",2022
Female,Ang Mo Kio,Total,25 - 29,Total*,"4,980",2022
Female,Ang Mo Kio,Total,25 - 29,? 60,320,2022
Female,Ang Mo Kio,Total,25 - 29,> 60 - 80,"1,270",2022
Female,Ang Mo Kio,Total,25 - 29,> 80 - 100,"1,630",2022
Female,Ang Mo Kio,Total,25 - 29,> 100 - 120,630,2022
Female,Ang Mo Kio,Total,25 - 29,> 120,"1,120",2022
Female,Ang Mo Kio,Total,30 - 34,Total*,"5,660",2022
Female,Ang Mo Kio,Total,30 - 34,? 60,310,2022
Female,Ang Mo Kio,Total,30 - 34,> 60 - 80,"1,540",2022
Female,Ang Mo Kio,Total,30 - 34,> 80 - 100,"2,040",2022
Female,Ang Mo Kio,Total,30 - 34,> 100 - 120,730,2022
Female,Ang Mo Kio,Total,30 - 34,> 120,"1,000",2022
Female,Ang Mo Kio,Total,35 - 39,Total*,"5,120",2022
Female,Ang Mo Kio,Total,35 - 39,? 60,240,2022
Female,Ang Mo Kio,Total,35 - 39,> 60 - 80,"1,460",2022
Female,Ang Mo Kio,Total,35 - 39,> 80 - 100,"1,870",2022
Female,Ang Mo Kio,Total,35 - 39,> 100 - 120,710,2022
Female,Ang Mo Kio,Total,35 - 39,> 120,820,2022
Female,Ang Mo Kio,Total,40 - 44,Total*,"5,930",2022
