Planning Area,Subzone,Age Group,Floor Area,2022
Total,Total,Total,Total*,"4,073,240"
Total,Total,Total,? 60,"266,200"
Total,Total,Total,> 60 - 80,"516,720"
Total,Total,Total,> 80 - 100,"1,004,830"
Total,Total,Total,> 100 - 120,"1,109,090"
Total,Total,Total,> 120,"1,136,620"
Total,Total,0 - 4,Total*,"178,090"
Total,Total,0 - 4,? 60,"10,580"
Total,Total,0 - 4,> 60 - 80,"17,410"
Total,Total,0 - 4,> 80 - 100,"60,390"
Total,Total,0 - 4,> 100 - 120,"49,920"
Total,Total,0 - 4,> 120,"39,110"
Total,Total,5 - 9,Total*,"201,360"
Total,Total,5 - 9,? 60,"9,860"
Total,Total,5 - 9,> 60 - 80,"18,330"
Total,Total,5 - 9,> 80 - 100,"59,980"
Total,Total,5 - 9,> 100 - 120,"58,580"
Total,Total,5 - 9,> 120,"53,700"
Total,Total,10 - 14,Total*,"202,380"
Total,Total,10 - 14,? 60,"9,490"
Total,Total,10 - 14,> 60 - 80,"18,790"
Total,Total,10 - 14,> 80 - 100,"49,210"
Total,Total,10 - 14,> 100 - 120,"61,650"
Total,Total,10 - 14,> 120,"62,290"
Total,Total,15 - 19,Total*,"206,750"
Total,Total,15 - 19,? 60,"10,510"
Total,Total,15 - 19,> 60 - 80,"19,840"
Total,Total,15 - 19,> 80 - 100,"43,620"
Total,Total,15 - 19,> 100 - 120,"63,010"
Total,Total,15 - 19,> 120,"68,680"
Total,Total,20 - 24,Total*,"233,300"
Total,Total,20 - 24,? 60,"12,850"
Total,Total,20 - 24,> 60 - 80,"22,880"
Total,Total,20 - 24,> 80 - 100,"47,520"
Total,Total,20 - 24,> 100 - 120,"68,070"
Total,Total,20 - 24,> 120,"80,610"
Total,Total,25 - 29,Total*,"280,080"
Total,Total,25 - 29,? 60,"15,860"
Total,Total,25 - 29,> 60 - 80,"30,790"
Total,Total,25 - 29,> 80 - 100,"63,210"
Total,Total,25 - 29,> 100 - 120,"78,720"
Total,Total,25 - 29,> 120,"89,970"
Total,Total,30 - 34,Total*,"317,150"
Total,Total,30 - 34,? 60,"17,340"
Total,Total,30 - 34,> 60 - 80,"39,460"
Total,Total,30 - 34,> 80 - 100,"98,110"
Total,Total,30 - 34,> 100 - 120,"84,530"
Total,Total,30 - 34,> 120,"75,880"
Total,Total,35 - 39,Total*,"290,980"
Total,Total,35 - 39,? 60,"14,820"
Total,Total,35 - 39,> 60 - 80,"37,330"
Total,Total,35 - 39,> 80 - 100,"94,810"
Total,Total,35 - 39,> 100 - 120,"79,690"
Total,Total,35 - 39,> 120,"62,440"
Total,Total,40 - 44,Total*,"299,870"
Total,Total,40 - 44,? 60,"16,260"
Total,Total,40 - 44,> 60 - 80,"38,640"
Total,Total,40 - 44,> 80 - 100,"87,120"
Total,Total,40 - 44,> 100 - 120,"85,640"
Total,Total,40 - 44,> 120,"70,170"
Total,Total,45 - 49,Total*,"304,320"
Total,Total,45 - 49,? 60,"17,450"
Total,Total,45 - 49,> 60 - 80,"39,340"
Total,Total,45 - 49,> 80 - 100,"75,340"
Total,Total,45 - 49,> 100 - 120,"88,700"
Total,Total,45 - 49,> 120,"81,180"
Total,Total,50 - 54,Total*,"292,980"
Total,Total,50 - 54,? 60,"18,210"
Total,Total,50 - 54,> 60 - 80,"38,530"
Total,Total,50 - 54,> 80 - 100,"64,110"
Total,Total,50 - 54,> 100 - 120,"82,650"
Total,Total,50 - 54,> 120,"87,200"
Total,Total,55 - 59,Total*,"299,840"
Total,Total,55 - 59,? 60,"21,130"
Total,Total,55 - 59,> 60 - 80,"41,900"
Total,Total,55 - 59,> 80 - 100,"62,380"
Total,Total,55 - 59,> 100 - 120,"81,410"
Total,Total,55 - 59,> 120,"90,450"
Total,Total,60 - 64,Total*,"288,010"
Total,Total,60 - 64,? 60,"23,260"
Total,Total,60 - 64,> 60 - 80,"41,350"
Total,Total,60 - 64,> 80 - 100,"58,850"
Total,Total,60 - 64,> 100 - 120,"74,650"
Total,Total,60 - 64,> 120,"87,030"
Total,Total,65 - 69,Total*,"247,930"
Total,Total,65 - 69,? 60,"22,920"
Total,Total,65 - 69,> 60 - 80,"37,670"
Total,Total,65 - 69,> 80 - 100,"51,730"
Total,Total,65 - 69,> 100 - 120,"60,840"
Total,Total,65 - 69,> 120,"71,510"
Total,Total,70 - 74,Total*,"188,580"
Total,Total,70 - 74,? 60,"19,210"
Total,Total,70 - 74,> 60 - 80,"31,090"
Total,Total,70 - 74,> 80 - 100,"39,600"
Total,Total,70 - 74,> 100 - 120,"42,760"
Total,Total,70 - 74,> 120,"52,670"
Total,Total,75 - 79,Total*,"105,790"
Total,Total,75 - 79,? 60,"11,440"
Total,Total,75 - 79,> 60 - 80,"19,010"
Total,Total,75 - 79,> 80 - 100,"21,920"
Total,Total,75 - 79,> 100 - 120,"22,370"
Total,Total,75 - 79,> 120,"28,440"
Total,Total,80 - 84,Total*,"74,940"
Total,Total,80 - 84,? 60,"8,330"
Total,Total,80 - 84,> 60 - 80,"14,170"
Total,Total,80 - 84,> 80 - 100,"15,250"
Total,Total,80 - 84,> 100 - 120,"14,880"
Total,Total,80 - 84,> 120,"19,050"
Total,Total,85 - 89,Total*,"37,950"
Total,Total,85 - 89,? 60,"4,180"
Total,Total,85 - 89,> 60 - 80,"6,770"
Total,Total,85 - 89,> 80 - 100,"7,500"
Total,Total,85 - 89,> 100 - 120,"7,050"
Total,Total,85 - 89,> 120,"10,070"
Total,Total,90 & Over,Total*,"22,940"
Total,Total,90 & Over,? 60,"2,500"
Total,Total,90 & Over,> 60 - 80,"3,410"
Total,Total,90 & Over,> 80 - 100,"4,190"
Total,Total,90 & Over,> 100 - 120,"3,990"
Total,Total,90 & Over,> 120,"6,170"
Ang Mo Kio,Total,Total,Total*,"161,000"
Ang Mo Kio,Total,Total,? 60,"11,780"
Ang Mo Kio,Total,Total,> 60 - 80,"45,320"
Ang Mo Kio,Total,Total,> 80 - 100,"51,880"
Ang Mo Kio,Total,Total,> 100 - 120,"20,560"
Ang Mo Kio,Total,Total,> 120,"29,830"
Ang Mo Kio,Total,0 - 4,Total*,"5,030"
Ang Mo Kio,Total,0 - 4,? 60,530
Ang Mo Kio,Total,0 - 4,> 60 - 80,"1,070"
Ang Mo Kio,Total,0 - 4,> 80 - 100,"1,720"
Ang Mo Kio,Total,0 - 4,> 100 - 120,800
Ang Mo Kio,Total,0 - 4,> 120,900
Ang Mo Kio,Total,5 - 9,Total*,"6,130"
Ang Mo Kio,Total,5 - 9,? 60,480
Ang Mo Kio,Total,5 - 9,> 60 - 80,"1,210"
Ang Mo Kio,Total,5 - 9,> 80 - 100,"1,910"
Ang Mo Kio,Total,5 - 9,> 100 - 120,"1,190"
Ang Mo Kio,Total,5 - 9,> 120,"1,310"
Ang Mo Kio,Total,10 - 14,Total*,"6,650"
Ang Mo Kio,Total,10 - 14,? 60,470
Ang Mo Kio,Total,10 - 14,> 60 - 80,"1,420"
Ang Mo Kio,Total,10 - 14,> 80 - 100,"1,870"
Ang Mo Kio,Total,10 - 14,> 100 - 120,"1,300"
Ang Mo Kio,Total,10 - 14,> 120,"1,550"
Ang Mo Kio,Total,15 - 19,Total*,"7,370"
